state,cluster,TDS_log10,well_depth_ft,total_ion_molL,samp_id,Alk_mgL,state_alpha,Cluster,ph,Ca_mgL,Mg_mgL,SO4_mgL,Na_mgL,Cl_mgL,K_mgL,Si_mgL,model_TDS_mgL,model_Ba_molL,model_Ca_molL,model_Fe_molL,model_K_molL,model_Li_molL,model_Mg_molL,model_Mn_molL,model_Na_molL,model_Sr_molL,model_Br_molL,model_Cl_molL,model_C_molL,model_SO4_molL,model_B_molL,model_Si_molL
NM,0,3.626615323222991,350.0,0.1347,Proprietary,436.0,NM,0,8.4,8.6,4.1,65.0,1500.0,2100.0,9.4,8.6,4232.678900000005,0.0,0.0001999999999999977,0.0,0.0001999999999999944,0.0,0.0001999999999999977,0.0,0.0654,0.0,0.0,0.0593,0.0086,0.0007,0.0,9.999999999999552e-05
NM,1,3.192615618885356,93.0,0.0278999999999999,Proprietary,300.0,NM,1,7.2,250.0,42.0,630.0,91.0,53.0,11.0,51.0,1558.1727999999996,0.0,0.0062,0.0,0.00029999999999999884,0.0,0.001699999999999999,0.0,0.003999999999999999,0.0,0.0,0.0014999999999999996,0.006799999999999998,0.0066,0.0,0.0007999999999999964
TX,0,3.119890201993885,600.0,0.0315,19840710-1,381.0,TX,0,8.4,6.81,2.92,307.0,378.0,127.0,3.0,24.0,1317.9234999999983,0.0,0.00019999999999999933,0.0,9.999999999999883e-05,0.0,9.999999999999967e-05,0.0,0.0164,0.0,0.0,0.0035999999999999795,0.007499999999999958,0.003199999999999982,0.0,0.0003999999999999969
TX,1,3.119569220672864,208.0,0.0277,nwistx.01.00104570,241.0,TX,1,7.1,116.0,93.3,370.0,103.0,209.0,17.6,49.4,1316.949799999998,0.0,0.0029,0.0,0.00039999999999999893,0.0,0.0037999999999999996,0.0,0.004499999999999999,0.0,0.0,0.0059,0.005599999999999999,0.0038,0.0,0.0007999999999999978
TX,2,3.8748262001493647,544.0,0.249,19840925-1,276.0,TX,2,7.9,33.64,6.56,57.0,2800.0,4225.0,1.0,11.0,7495.941699999998,0.0,0.0007999999999999971,0.0,0.0,0.0,0.00029999999999999737,0.0,0.12210000000000001,0.0,0.0,0.11939999999999999,0.005599999999999997,0.0005999999999999966,0.0,0.0001999999999999944
TX,3,3.1355551908709223,186.0,0.0291999999999999,20080529-1,234.0,TX,3,7.56,20.7,21.99,345.0,137.0,191.0,283.0,41.0,1366.3287,0.0,0.0005,0.0,0.007199999999999999,0.0,0.0008999999999999992,0.0,0.006,0.0,0.0,0.005399999999999999,0.004899999999999999,0.0035999999999999995,0.0,0.0006999999999999967
FL,0,3.236384652214846,629.0,0.0472,Proprietary,146.0,FL,0,7.6,97.0,87.0,260.0,350.0,690.0,17.0,17.0,1723.3943,0.0,0.0024,0.0,0.00039999999999999763,0.0,0.0036,0.0,0.0152,0.00019999999999999882,0.0,0.0194,0.0029999999999999996,0.002699999999999999,0.0,0.00029999999999999856
FL,1,3.3447806657902897,500.0,0.058,Proprietary,230.0,FL,1,7.9,55.0,47.0,520.0,600.0,600.0,34.0,47.0,2211.9772999999996,0.0,0.0013999999999999993,0.0,0.000899999999999997,0.0,0.0018999999999999983,0.0,0.026099999999999995,0.0,0.0,0.01689999999999995,0.004599999999999984,0.005399999999999984,0.0,0.0007999999999999965
FL,2,3.354369609870915,570.0,0.0477,nwisfl.01.98808822,129.0,FL,2,8.0,290.0,130.0,960.0,200.0,460.0,6.6,24.0,2261.359499999999,0.0,0.007199999999999999,0.0,0.00019999999999999787,0.0,0.005299999999999999,0.0,0.008699999999999998,0.0002999999999999985,0.0,0.013,0.0025999999999999986,0.01,0.0,0.0003999999999999982
FL,4,3.176615859349857,28.5,0.0344999999999999,nwisfl.01.97802519,590.0,FL,4,7.1,120.0,26.0,41.0,150.0,240.0,120.0,10.0,1501.8130000000015,0.0,0.0029999999999999996,9.999999999999988e-05,0.0030999999999999995,0.0,0.0010999999999999998,0.0,0.0065,0.0,0.0,0.0066999999999999985,0.013399999999999999,0.0003999999999999991,0.0,0.00019999999999999727
CA,0,3.145186022714684,195.0,0.0356999999999999,nwisca.01.00201571,290.0,CA,0,7.5,65.0,20.2,190.0,327.0,357.0,5.56,35.9,1396.9666000000016,0.0,0.0015999999999999996,0.0,9.999999999999927e-05,0.0,0.0007999999999999998,0.0,0.0142,0.0,0.0,0.0101,0.0062,0.0019999999999999996,9.999999999999716e-05,0.0005999999999999971
CA,1,3.454480982173598,178.0,0.0555,nwisca.01.97508865,281.0,CA,1,6.9,390.0,190.0,1300.0,180.0,320.0,5.5,35.0,2847.6130999999987,0.0,0.0097,0.0,9.999999999999868e-05,0.0,0.007799999999999999,0.0,0.007799999999999999,0.0,0.0,0.008999999999999998,0.006999999999999998,0.0135,0.0,0.0005999999999999994
CA,2,3.46018600857017,285.0,0.0766,nwisca.01.99101218,221.0,CA,2,7.5,350.0,130.0,370.0,380.0,1300.0,9.3,35.0,2885.2669999999985,0.0,0.008699999999999998,0.0,0.0001999999999999969,0.0,0.0053,0.0,0.0165,0.0,9.999999999999746e-05,0.036699999999999997,0.004599999999999996,0.003899999999999999,0.0,0.0005999999999999954
AZ,1,3.542744620758135,400.0,0.0963,nwisaz.01.98001675,200.0,AZ,1,7.0,310.0,110.0,520.0,710.0,1500.0,7.3,30.0,3489.3506999999995,0.0,0.0077,0.0,0.00019999999999999982,0.0,0.004499999999999998,0.0,0.0309,0.0,0.0,0.04229999999999999,0.004699999999999997,0.0053999999999999986,9.999999999999396e-05,0.0004999999999999987
AZ,2,3.289937830860604,15.5,0.0321,nwisaz.01.00200364,40.8,AZ,2,6.0,336.0,77.7,1170.0,60.5,51.5,3.22,58.4,1949.565499999999,0.0,0.00839999999999997,0.0,9.999999999999792e-05,0.0,0.003199999999999988,0.0006999999999999963,0.0025999999999999895,0.0,0.0,0.0014999999999999972,0.0023999999999999985,0.012199999999999999,0.0,0.0009999999999999972
